res_id,type,cuisines 1,cuisines 2,cuisines 3,cuisines 4,cuisines 5,cuisines 6,cuisines 7,cuisines 8,city,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,photo_count,delivery,state
18552731,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.11532312,72.90721883,400,1,3.8,297,156,0,Maharashtra
18673769,Kiosk,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.17350379,72.83587899,400,1,4.1,249,213,0,Maharashtra
18785890,Dessert Parlour,Desserts,Beverages,Ice Cream,,,,,,Mumbai,19.13002643,72.86491256,600,2,4.4,134,194,1,Maharashtra
18603828,Beverage Shop,Beverages,Fast Food,,,,,,,Mumbai,19.08047311,72.90445436,600,2,3.9,256,171,0,Maharashtra
18354518,Beverage Shop,Juices,Bubble Tea,,,,,,,Mumbai,19.07083723,72.82278445,350,1,4,197,247,0,Maharashtra
18336734,Quick Bites,Fast Food,Beverages,Desserts,Ice Cream,,,,,Mumbai,19.1154028,72.8732318,400,1,3.8,144,354,0,Maharashtra
18631681,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.1227471,72.86426917,400,1,3.9,202,145,0,Maharashtra
18656031,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,18.95453079,72.81834204,400,1,3.7,224,90,1,Maharashtra
18543170,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.1731602,72.83557758,400,1,3.8,200,118,0,Maharashtra
18662021,Kiosk,Beverages,Desserts,,,,,,,Mumbai,19.099499,72.916757,400,1,3.8,128,187,0,Maharashtra
18617159,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.10478972,72.85213083,400,1,3.8,173,92,1,Maharashtra
18596459,Quick Bites,Fast Food,Beverages,,,,,,,Mumbai,19.00702195,72.84133796,500,2,3.9,100,182,0,Maharashtra
18687552,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.07339788,72.83112612,400,1,4,99,135,0,Maharashtra
18727450,Beverage Shop,Beverages,Desserts,,,,,,,Mumbai,19.18478221,72.83378083,300,1,4,139,105,0,Maharashtra
18602085,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.08651291,72.88943298,400,1,3.9,110,115,0,Maharashtra
18575171,Beverage Shop,Beverages,Desserts,Ice Cream,,,,,,Mumbai,19.14124605,72.83125084,400,1,3.9,141,56,0,Maharashtra
18555400,Beverage Shop,Beverages,Frozen Yogurt,Juices,,,,,,Mumbai,19.08153204,72.83606306,300,1,3.9,129,50,0,Maharashtra
18670929,Beverage Shop,Beverages,Fast Food,,,,,,,Mumbai,19.11669532,72.90230256,600,2,3.5,75,129,0,Maharashtra
18715711,Beverage Shop,Beverages,Ice Cream,,,,,,,Mumbai,19.21187466,72.87390769,300,1,3.8,80,96,0,Maharashtra
18419764,Beverage Shop,Juices,,,,,,,,Mumbai,19.119285,72.911743,200,1,3.9,79,78,0,Maharashtra
18744185,Beverage Shop,Beverages,Fast Food,,,,,,,Mumbai,19.283725,72.86466,600,2,3.7,73,80,0,Maharashtra
18673482,Beverage Shop,Juices,,,,,,,,Mumbai,19.193015,72.833547,200,1,3.9,66,59,0,Maharashtra
18420614,Beverage Shop,Juices,,,,,,,,Mumbai,19.00234048,72.81946521,200,1,3.9,75,46,0,Maharashtra
18511462,Beverage Shop,Juices,,,,,,,,Mumbai,19.14059642,72.83167999,200,1,3.8,65,56,0,Maharashtra
18557394,Beverage Shop,Beverages,Ice Cream,,,,,,,Mumbai,19.20219832,72.84723245,700,2,3.4,78,176,0,Maharashtra
18267743,Beverage Shop,Juices,,,,,,,,Mumbai,19.11881904,72.88037248,200,1,3.9,70,44,0,Maharashtra
16526686,Quick Bites,Burger,Fast Food,Beverages,,,,,,Mumbai,19.08684528,72.89011393,500,2,3.8,847,659,0,Maharashtra
48089,Quick Bites,Burger,Fast Food,,,,,,,Mumbai,19.20318523,72.86000278,450,1,3.8,617,316,0,Maharashtra
18567389,Food Court,Chinese,Asian,Thai,Beverages,,,,,Mumbai,19.20297214,72.85969868,600,2,3.9,560,612,0,Maharashtra
18237092,Food Court,Chinese,Asian,Momos,,,,,,Mumbai,19.17372832,72.86014695,600,2,3.9,641,315,0,Maharashtra
35014,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,18.99492841,72.82513406,400,1,2.7,635,209,0,Maharashtra
18306481,Food Court,Chinese,Asian,Thai,Beverages,,,,,Mumbai,19.14111714,72.8311811,600,2,3.7,515,490,0,Maharashtra
16516150,Quick Bites,Burger,Fast Food,Beverages,Cafe,Desserts,,,,Mumbai,19.09894448,72.91660108,500,2,4,489,540,0,Maharashtra
35102,Quick Bites,Burger,Fast Food,Beverages,Cafe,Desserts,,,,Mumbai,19.17354876,72.86011577,500,2,3.7,475,231,0,Maharashtra
18649426,Quick Bites,Burger,Fast Food,,,,,,,Mumbai,19.10369102,72.88663141,450,1,4,384,130,0,Maharashtra
35012,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.14127393,72.83127967,400,1,3.8,492,218,0,Maharashtra
18420608,Food Court,Chinese,Asian,Thai,Beverages,,,,,Mumbai,19.0986359,72.91654274,600,2,3.7,422,374,0,Maharashtra
35013,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.18373597,72.95141682,400,1,3.7,427,204,0,Maharashtra
35017,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.17298286,72.83570264,400,1,3,447,128,0,Maharashtra
41494,Food Court,Middle Eastern,Lebanese,Healthy Food,,,,,,Mumbai,19.18468721,72.83363298,600,2,3.8,305,246,0,Maharashtra
43363,Food Court,North Indian,,,,,,,,Mumbai,19.17314912,72.83561111,500,2,3.7,343,171,0,Maharashtra
39941,Food Court,Lebanese,North Indian,,,,,,,Mumbai,19.17357283,72.86018819,400,1,2.7,354,154,0,Maharashtra
40041,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.20297088,72.85963096,400,1,3.1,311,140,0,Maharashtra
47093,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.18480215,72.83350792,400,1,2.8,345,128,0,Maharashtra
35006,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,19.17357631,72.86010537,400,1,3.8,284,191,0,Maharashtra
49016,Food Court,Pizza,,,,,,,,Mumbai,19.08674389,72.89051995,600,2,3.3,248,229,0,Maharashtra
18557419,Food Court,North Indian,Mughlai,Lebanese,Biryani,,,,,Mumbai,19.11933761,72.91134562,600,2,4.2,258,134,0,Maharashtra
45336,Quick Bites,Burger,Fast Food,Beverages,Cafe,Desserts,,,,Mumbai,19.17324064,72.83558059,500,2,3.9,190,290,0,Maharashtra
18340826,Food Court,Pizza,,,,,,,,Mumbai,19.17361527,72.86008593,600,2,3.3,195,187,0,Maharashtra
18205943,Food Court,Pizza,,,,,,,,Mumbai,19.18485219,72.8334925,600,2,3.3,179,194,0,Maharashtra
18571764,Food Court,Desserts,Bakery,,,,,,,Mumbai,19.17362825,72.86019154,450,1,4.1,160,166,0,Maharashtra
35257,Dessert Parlour,Ice Cream,Desserts,,,,,,,Mumbai,19.17315007,72.83559971,150,1,4.1,198,114,0,Maharashtra
16538653,Food Court,North Indian,Kebab,,,,,,,Mumbai,19.09900087,72.91660409,450,1,3.6,142,162,0,Maharashtra
39817,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,18.93833685,72.83303685,400,1,3,242,97,0,Maharashtra
42810,Food Court,Fast Food,Momos,,,,,,,Mumbai,19.18478981,72.83355251,250,1,3.6,162,110,0,Maharashtra
18257333,Food Court,Pizza,,,,,,,,Mumbai,18.93835873,72.8330506,600,2,2.9,155,134,0,Maharashtra
17760269,Food Court,Chinese,,,,,,,,Mumbai,19.09859439,72.91649513,600,2,3.6,126,121,0,Maharashtra
18655228,Food Court,Chinese,Asian,,,,,,,Mumbai,18.92638327,72.82284379,600,2,3.7,121,59,0,Maharashtra
18372171,Food Court,Middle Eastern,Lebanese,Healthy Food,,,,,,Mumbai,19.08672488,72.8904549,650,2,3.6,112,114,0,Maharashtra
35004,Quick Bites,Fast Food,Healthy Food,Sandwich,Salad,,,,,Mumbai,18.92643274,72.82282602,400,1,3.7,158,74,0,Maharashtra
42632,Food Court,Chinese,,,,,,,,Mumbai,19.08669668,72.89029699,600,2,2.6,121,62,0,Maharashtra
37476,Fine Dining,North Indian,Seafood,Mughlai,,,,,,Mumbai,18.92823605,72.8317561,2600,4,4.2,1386,1110,0,Maharashtra
18223199,Fine Dining,Italian,American,Salad,Desserts,,,,,Mumbai,19.11072441,72.8278793,2500,4,4.1,2150,4022,1,Maharashtra
37858,Fine Dining,Continental,North Indian,Salad,,,,,,Mumbai,18.93117311,72.82304563,2500,4,4.2,970,2435,0,Maharashtra
18538020,Fine Dining,Modern Indian,,,,,,,,Mumbai,19.0683038,72.83172995,2700,4,4.3,1194,3829,0,Maharashtra
36425,Fine Dining,European,Italian,American,Salad,Desserts,,,,Mumbai,18.99461107,72.82371953,2400,4,4.1,1814,1712,0,Maharashtra
17935463,Fine Dining,Sushi,Asian,Chinese,Thai,Japanese,,,,Mumbai,18.99426362,72.82394115,2000,4,4.5,2953,6590,0,Maharashtra
37857,Fine Dining,North Indian,Asian,Continental,,,,,,Mumbai,19.17353863,72.85967857,4000,4,4.2,1220,1292,0,Maharashtra
48386,Fine Dining,Continental,Italian,North Indian,South Indian,Chinese,Mediterranean,,,Mumbai,19.13632733,72.82784712,1500,3,4.2,1139,1369,0,Maharashtra
37477,Fine Dining,European,Continental,Salad,,,,,,Mumbai,19.13642077,72.82740187,2400,4,4.1,1003,772,0,Maharashtra
43058,Fine Dining,Japanese,,,,,,,,Mumbai,18.93201797,72.82832757,3000,4,4.2,1288,880,0,Maharashtra
37241,Fine Dining,Andhra,Kerala,South Indian,Chettinad,,,,,Mumbai,19.09745225,72.85441138,2500,4,4.5,853,893,0,Maharashtra
37745,Fine Dining,Italian,,,,,,,,Mumbai,18.91455792,72.82102257,2700,4,4.2,1041,784,0,Maharashtra
38477,Fine Dining,Mediterranean,Lebanese,,,,,,,Mumbai,18.92213975,72.83375636,5500,4,4.2,772,322,0,Maharashtra
18878784,Fine Dining,European,Asian,Japanese,American,Sushi,,,,Mumbai,19.06348819,72.85751115,2600,4,4.4,341,694,0,Maharashtra
36876,Fine Dining,North Indian,Mughlai,Chinese,,,,,,Mumbai,19.12729941,72.83737868,1900,3,3.9,464,240,0,Maharashtra
34728,Fine Dining,Chinese,North Indian,Seafood,,,,,,Mumbai,19.19321676,72.84035794,2500,4,3.9,463,211,0,Maharashtra
18903444,Confectionery,Mithai,Fast Food,,,,,,,Mumbai,19.03948111,72.84161188,300,1,3.5,46,130,0,Maharashtra
18587852,Confectionery,Desserts,,,,,,,,Mumbai,19.08170124,72.83490736,600,2,3.8,26,18,0,Maharashtra
18476910,Lounge,North Indian,Chinese,Continental,Italian,,,,,Mumbai,19.11940382,72.90552355,2300,4,4.4,3153,1519,0,Maharashtra
48851,Casual Dining,North Indian,Italian,Chinese,Continental,BBQ,,,,Mumbai,19.11329046,72.90937386,1600,3,4.3,5443,3792,0,Maharashtra
18763341,Lounge,North Indian,Continental,,,,,,,Mumbai,19.22381621,72.84102816,1900,3,4.3,869,2615,0,Maharashtra
44057,Lounge,Italian,Mediterranean,Salad,,,,,,Mumbai,19.11240818,72.90976848,2600,4,4.1,4716,2165,0,Maharashtra
18435740,Lounge,North Indian,Chinese,Thai,Italian,,,,,Mumbai,19.12244046,72.9085464,1700,3,4.3,1847,4199,0,Maharashtra
18702838,Lounge,North Indian,Italian,Mexican,Chinese,,,,,Mumbai,19.16856766,72.9422792,1700,3,4.5,607,2703,0,Maharashtra
40410,Lounge,North Indian,Continental,Bar Food,,,,,,Mumbai,19.18039203,72.83604797,1600,3,4,2427,2734,0,Maharashtra
40208,Lounge,Italian,Continental,,,,,,,Mumbai,19.10629488,72.91694473,1900,3,3.8,895,649,1,Maharashtra
18614324,Lounge,Continental,Chinese,Mughlai,Finger Food,North Indian,Kebab,,,Mumbai,19.12274963,72.89824571,1800,3,4.1,804,1075,0,Maharashtra
18559276,Lounge,Finger Food,,,,,,,,Mumbai,19.17673514,72.83681676,2200,4,3.6,721,242,0,Maharashtra
19097820,Lounge,North Indian,Chinese,Continental,Beverages,Mexican,,,,Mumbai,19.2844148,72.8705033,1000,3,4,34,173,0,Maharashtra
18840765,Casual Dining,Continental,Thai,Italian,Burmese,Mediterranean,,,,Mumbai,19.22748408,72.85534177,1700,3,4.2,456,1190,1,Maharashtra
17851901,Pub,Continental,Chinese,Asian,Italian,Pizza,,,,Mumbai,19.11472584,72.83612777,2000,4,4,1593,1536,0,Maharashtra
49499,Casual Dining,Mediterranean,European,American,Italian,,,,,Mumbai,19.14089384,72.83308681,2000,4,4,2377,3538,0,Maharashtra
